PROD,BE2,beyqsp-db.onsemi.com:1634:BEYQSP
QA,BE2,beyqsq-db.onsemi.com:1633:BEYQSQ
PROD,CEBU,WLCCPPRD:1524:WLCCPPRD
QA,CEBU,new: cpyqsq-db.onsemi.com:1528:CPYQSQ
PROD,CNK (ONSC),szyqsp-db.onsemi.com:1613:szyqsp
QA,CNK (ONSC),szyqsq-db.onsemi.com:1617:szyqsq
PROD,CXC GLOBAL,dportprd-db.onsemi.com:1720:DPORTPRD
QA,CXC GLOBAL,dportqa-db.onsemi.com:1719:DPORTQA
PROD,CZ4/CZ2,cz4mfgp-db.onsemi.com:1554:CZ4MFGP
QA,CZ4/CZ2,czrz04rac-qa1-scan.onsemi.com:1528/svcCZ4MFGQ_DATAPORT.onsemi.com
DEV,CZ4/CZ2,dportdev-db:1555:DPORTDEV
DEV2,CZ4/CZ2,dportdev-db:1555:DPORTDEV
DEV3,CZ4/CZ2,yqs1dev-db.onsemi.com:1611:YQS1DEV
QA,EFK/MT,gyqsq-db.onsemi.com:1545:GYQSq
 PROD, EFK/MT,gyqsp-db.onsemi.com:1546:GYQSP
QA,EXTERNAL,gyqsq-db.onsemi.com:1545:GYQSQ
 PROD, EXTERNAL,gyqsp-db.onsemi.com:1546:GYQSP
PROD,JND (Aizu),jnd-proddb-scan:1540/JNDMFGP.onsemi.com
QA,JND (Aizu),jnd-devdb-scan.onsemi.com:1537/JNDMFGQ.onsemi.com
PROD,JPF (Niigata),jpmfgprd-db.onsemi.com:1524:JPMFGPRD
QA,JPF (Niigata),jpmfgqa-db.onsemi.com:1534:JPMFGQA
PROD,KRI (Bucheon),bkyqsp-db.onsemi.com:1452:BKYQSP
QA,KRI (Bucheon) NEW,bkyqsq-db.onsemi.com:1453:BKYQSQ
PROD,Leshan (CN1),lpsyqsp-db.onsemi.com:1532:LPSYQSP
QA,Leshan (CN1),lpsyqsq-db.onsemi.com:1531:LPSYQSQ
PROD,MYD (SBN), myyqsp-db.onsemi.com:1572:MYYQSP
QA,MYD (SBN),myyqsq-db.onsemi.com:1571:MYYQSQ
PROD,OSPI,phyqsp-db.onsemi.com:1579:PHYQSP
QA,OSPI,phyqsq-db.onsemi.com:1770:PHYQSQ
QA,OSV(Vietnam),osvyqsq-db.onsemi.com:1759:OSVYQSQ
PROD,OSV(Vietnam),osvyqsp-db.onsemi.com:1558:OSVYQSP
PROD,PHM (Tarlac),TLYQSP-db.onsemi.com:1772:TLYQSP
QA,PHM (Tarlac),tlyqsq-db.onsemi.com:1771:TLYQSQ
PROD,Suzhou,scyqsp-db.onsemi.com:1531:SCYQSP
QA,Suzhou,scyqsq-db.onsemi.com:1530:SCYQSQ
QA,USU (Pocatello),dportqa-db.onsemi.com:1719:DPORTQA
PROD,USU (Pocatello),dportprd-db.onsemi.com:1720:DPORTPRD
QA,USR (Gresham),gryqsq-db.usgr1.onsemi.com:1703:GRYQSQ
PROD,USR (Gresham),gryqsp-db.usgr1.onsemi.com:1704:GRYQSP
QA,UV5 (EFK) - GF network,usny04ldorcqcl1.usefk.com:1521:efkyqsq
PROD,UV5 (EFK) - GF network,usny04ldorcpcl4.usefk.com:1521:efkyqsp
QA,UVA (Nampa),nmyqsq-db.onsemi.com:1604:nmyqsq
PROD,UVA (Nampa),nmyqsp-db.onsemi.com:1605:nmyqsp
QA,UWA (Mountain Top),mtyqsq-db.onsemi.com:1554:MTYQSQ
 PROD, UWA (Mountain Top),mtyqsp-db.onsemi.com:1553:MTYQSP
QA,UWH (GTAT),gyqsq-db.onsemi.com:1545:GYQSQ
 PROD, UWH (GTAT),gyqsp-db.onsemi.com:1546:GYQSP
QA,EDL (Engineering Development Line),dportqa-db.onsemi.com:1719:DPORTQA
PROD,EDL (Engineering Development Line),dportprd-db.onsemi.com:1720:DPORTPRD
